Дата,Открытие,Макс,Мин,Закрытие,      
20/09/18,112090,112730,111950,112390,
20/09/18,112390,112430,112340,112400,
20/09/18,112400,112420,112340,112420,
20/09/18,112410,112550,112380,112500,
20/09/18,112490,112540,112450,112510,
20/09/18,112490,112540,112440,112480,
20/09/18,112480,112500,112380,112430,
20/09/18,112410,112450,112390,112450,
20/09/18,112440,112440,112320,112320,
20/09/18,112330,112340,112250,112290,
20/09/18,112290,112320,112200,112310,
20/09/18,112310,112320,112170,112180,
20/09/18,112190,112230,112170,112220,
20/09/18,112210,112310,112200,112300,
20/09/18,112290,112340,112250,112300,
20/09/18,112290,112340,112270,112340,
20/09/18,112340,112370,112310,112340,
20/09/18,112340,112380,112330,112330,
20/09/18,112320,112350,112280,112340,
20/09/18,112350,112350,112250,112270,
20/09/18,112260,112260,112120,112160,
20/09/18,112180,112220,112170,112210,
20/09/18,112220,112240,112180,112200,
20/09/18,112200,112340,112190,112330,
20/09/18,112320,112350,112300,112300,
20/09/18,112290,112410,112290,112410,
20/09/18,112410,112410,112330,112360,
20/09/18,112360,112370,112300,112310,
20/09/18,112310,112330,112300,112310,
20/09/18,112320,112340,112260,112270,
20/09/18,112270,112340,112270,112340,
20/09/18,112340,112340,112270,112320,
20/09/18,112310,112370,112310,112360,
20/09/18,112370,112430,112340,112390,
20/09/18,112380,112490,112360,112450,
20/09/18,112450,112490,112440,112440,
20/09/18,112450,112490,112440,112480,
20/09/18,112480,112540,112470,112530,
20/09/18,112520,112670,112520,112650,
20/09/18,112640,112760,112640,112720,
20/09/18,112730,112850,112720,112810,
20/09/18,112810,112830,112740,112750,
20/09/18,112740,112850,112730,112760,
20/09/18,112750,112810,112690,112700,
20/09/18,112700,112760,112640,112740,
20/09/18,112750,112780,112690,112710,
20/09/18,112710,112750,112680,112740,
20/09/18,112730,112750,112680,112720,
20/09/18,112720,112720,112680,112690,
20/09/18,112680,112700,112650,112670,
20/09/18,112660,112720,112660,112700,
20/09/18,112700,112710,112640,112660,
20/09/18,112650,112670,112600,112600,
20/09/18,112610,112670,112600,112660,
20/09/18,112660,112700,112650,112690,
20/09/18,112690,112700,112610,112670,
20/09/18,112680,112700,112620,112640,
20/09/18,112640,112640,112580,112640,
20/09/18,112640,112690,112630,112670,
20/09/18,112670,112690,112650,112660,
20/09/18,112660,112690,112620,112640,
20/09/18,112640,112700,112620,112660,
20/09/18,112650,112700,112650,112690,
20/09/18,112700,112820,112690,112800,
20/09/18,112790,112800,112700,112760,
